sku,regular_price,stock,stock_status,published,date_sale_starts,date_sale_ends,sale_price,ALLOCATED_STOCK,NEW_STOCK_STATUS
102813485,10,0,2,1,,,,0,2
103262442,119.5,1959,1,1,,,,1959,1
103734398,6.75,485,1,1,,,,485,1
10483526,12.55,476,1,1,,,,476,1
10604835,5,5316,1,1,,,,5316,1
10690107,22.45,578,1,1,,,,578,1
10776632,83,627,1,1,,,,627,1
15000442,4.5,642,1,1,,,,642,1
1999785,40,-6,2,1,,,,-6,2
2003429,23.05,2383,1,1,,,,2383,1
2046563,14.75,9,1,1,,,,9,1
2065519,54,149,1,1,,,,149,1
2070209,55,4895,1,1,,,,4895,1
2083247,9.5,15,1,1,,,,15,1
2085821,20,426,1,1,,,,426,1
2089126,36.75,206,1,1,,,,206,1
2094106,7.45,4714,1,1,,,,4714,1
2095929,4,-411,2,1,,,,-411,2
2099897,22.75,48,1,1,,,,48,1
2104485,7.15,-179,2,1,,,,-179,2
2104768,64.75,647,1,1,,,,647,1
3758632,32.5,1615,1,1,,,,1615,1
3786420,7.85,1988,1,1,,,,1988,1
7173233,52.5,1552,1,1,,,,1552,1
8222350,4.5,706,1,1,,,,706,1
8779199,7.3,1219,1,1,,,,1219,1
9111655,7.5,3563,1,1,,,,3563,1
9122014,4.75,2860,1,1,,,,2860,1
9128167,18.55,256,1,1,,,,256,1
9192574,6,260,1,1,,,,260,1
9199728,16,405,1,1,,,,405,1
9258104,14.25,714,1,1,,,,714,1
9285414,6.5,0,2,1,,,,0,2
9304829,15.25,2917,1,1,,,,2917,1
9351378,18.3,215,1,1,,,,215,1
9420514,39.5,499,1,1,,,,499,1
9457103,6,1575,1,1,,,,1575,1
9531053,13,556,1,1,,,,556,1
9604234,67,1466,1,1,,,,1466,1
9777632,62,147,1,1,,,,147,1
9837032,64.8,731,1,1,,,,731,1
9872648,4.5,-23,2,1,,,,-23,2
9879223,14.25,6227,1,1,,,,6227,1
9904117,6,1023,1,1,,,,1023,1
